Poder,Poder_texto,Poder_orden,Poder_imagen,Jurisdiccion,Jurisdiccion_texto,Jurisdiccion_orden,Jurisdiccion_imagen,Administracion,Administracion_texto,Administracion_imagen,Nivel1,Nivel1_texto,Nivel1_imagen,Nivel2,Nivel2_texto,Nivel2_imagen,Nivel3,Nivel3_texto,Nivel3_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,CPMRCS - Comisión Parlamentaria Mixta Revisora de Cuentas,,quien/default.jpg,Programa 22 - Revision de Cuentas Nacionales,,,12,"5,24","4,586","9,52","9,52","9,52","9,52",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,HCSN - Honorable Cámara de Senadores,,quien/HCSN.jpg,,,,12,"2593,5408628","2776,16667","3985,965947","3912,1796171","3903,21316701","3433,79762449",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,ICN - Imprenta del Congreso,,quien/ICN.jpg,Programa 19 - Impresiones y Publicaciones Parlamentarias,,quien/default.jpg,,,,12,"235,55972641","264,672","321,372","295,30347976","292,75311946","257,5308528",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,PPN - Procuración Penitenciaria,,quien/PPN.jpg,Programa 26 - Proteccion de los Derechos del Interno Penitenciario,,quien/default.jpg,,,,12,"109,85609338","148,587038","168,317039","151,77945365","145,05845354","143,61676429",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM DESC PODLEG - Administración Descentralizada del Poder Legislativo Nacional,,quien/adm_desc.svg,AGN - Auditoría General de la Nación,,quien/AGN.jpg,Programa 16 - Control Externo del Sector Publico Nacional,,quien/default.jpg,,,,12,"609,76766813","680,242","852,771","732,77503387","731,78670235","658,3056071",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,AGCSJN - Administración General de la Corte Suprema de Justicia de la Nación,,quien/default.jpg,Programa 8 - Administracion General de la Corte Suprema de Justicia de la Nacion,,quien/default.jpg,,,,12,"309,14862199","469,568186","446,980186","424,94519594","367,5692653","326,37421942",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,CAMCAP - Cámaras de Capital Federal,,quien/default.jpg,Programa 23 - Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,,,12,"2671,8287977","4002,29322","3986,812221","3925,54620356","3915,33653045","3440,16753003",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,CAMCAS - Cámara de Casación Penal,,quien/default.jpg,Programa 22 - Justicia de Casacion,,,12,"141,83552048","208,679516","278,348516","278,13056099","275,34127681","265,98082859",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,CAMFED - Cámaras Federales,,quien/default.jpg,Programa 24 - Justicia Federal,,,12,"3831,51110181","5413,902659","5376,111058","5267,49824819","5222,18293887","4892,4207301",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,Programa 1 - Actividades Centrales,,,12,"3064,39309873","961,976813","2849,11085","2423,04245972","2326,10287814","2076,31129911",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CMAG - Consejo de la Magistratura,,quien/CMAG.jpg,DPREV - Departamento de Previsión,,quien/default.jpg,Programa 26 - Atencion de Pasividades,,,12,"43,52397085","33,520792","63,520792","53,23807554","53,23807554","46,94541506",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,CSJN - Corte Suprema de Justicia de la Nación,,quien/CSJN.jpg,Programa 21 - Justicia de Maxima Instancia,,quien/default.jpg,,,,12,"413,51151114","513,818813","621,416813","575,64696823","470,59462186","411,90068067",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,DGAGJ - Dirección General del Archivo General Judicial,,quien/default.jpg,Programa 7 - Archivo General,,quien/default.jpg,,,,12,"76,1717379","156,820161","112,947161","110,32890175","94,53698905","84,03781997",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,DGMyN - Dirección General de Mandamientos y Notificaciones,,quien/default.jpg,Programa 4 - Mandamientos y Notificaciones,,quien/default.jpg,,,,12,"268,86787514","308,060646","375,868646","365,9780307","317,68796186","279,89258485",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,DGPER - Dirección General Pericial,,quien/default.jpg,Programa 5 - Pericias Judiciales,,quien/default.jpg,,,,12,"368,11934118","599,912631","628,382631","603,07983025","448,59889394","395,4579188",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,OSPJ - Obra Social del Poder Judicial,,quien/default.jpg,Programa 25 - Asistencia Social,,quien/default.jpg,,,,12,"79,45692781","110,255174","114,890174","112,2459934","93,29588976","83,00697668",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODJUD - Poder Judicial de la Nación,,2,quien/PODJUD.jpg,PODJUD - Poder Judicial de la Nación,,,quien/PODJUD.jpg,ADM CTRAL PODJUD - Administración Central del Poder Judicial de la Nación,,quien/adm_ctral.svg,SECJUR - Secretaría de Jurisprudencia,,quien/default.jpg,Programa 6 - Biblioteca y Jurisprudencia,,quien/default.jpg,,,,12,"48,75356803","64,684389","83,474389","68,36328444","56,50242541","50,38974576",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
MINPUB - Ministerio Público,,3,quien/MINPUB.jpg,MINPUB - Ministerio Público,,,quien/MINPUB.jpg,ADM CTRAL MINPUB - Administración Central del Ministerio Público,,quien/adm_ctral.svg,DGN - Defensoría General de la Nación,,quien/DGN.jpg,"Programa 17 - Representacion, Defensa y Curatela Publica Oficial",,quien/default.jpg,,,,12,"1293,82407887","1562,903","1992,1916","1788,49770649","1745,75504492","1658,4842555",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
MINPUB - Ministerio Público,,3,quien/MINPUB.jpg,MINPUB - Ministerio Público,,,quien/MINPUB.jpg,ADM CTRAL MINPUB - Administración Central del Ministerio Público,,quien/adm_ctral.svg,PGN - Procuración General de la Nación,,quien/PGN.jpg,Programa 16 - Ejercicio de la Accion Publica y Defensa de la Legalidad,,quien/default.jpg,,,,12,"2299,51442413","2671,784","3657,073857","3049,83617308","3018,75340708","3004,62565702",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,CNCPS - Consejo Nacional de Coordinación de Políticas Sociales,,quien/CNCPS.jpg,CNCPS - Consejo Nacional de Coordinación de Políticas Sociales,,quien/CNCPS.jpg,Programa 1 - Actividades Centrales,,,12,"21,90047026","30,198008","19,596508","16,6686208","16,41562531","15,0387334",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,CNCPS - Consejo Nacional de Coordinación de Políticas Sociales,,quien/CNCPS.jpg,CNCPS - Consejo Nacional de Coordinación de Políticas Sociales,,quien/CNCPS.jpg,Programa 21 - Asistencia y Coordinacion de Politicas Sociales,,,12,"182,31756855","323,28873","328,97773","148,1453922","147,70808582","130,87992965",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,CNCPS - Consejo Nacional de Coordinación de Políticas Sociales,,quien/CNCPS.jpg,CNM - Consejo Nacional de la Mujer,,quien/CNM.jpg,Programa 17 - Formulacion e Implementacion de Politicas Publicas de la Mujer,,,12,"22,88499205","50,789263","55,701763","53,06365629","52,95961082","51,08731944",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SECGRAL - Secretaría General de la Presidencia de la Nación,,quien/SECGRAL.jpg,Programa 16 - Conduccion del Poder Ejecutivo Nacional,,quien/default.jpg,,,,12,"1032,26671036","1105,122548","1328,119261","1246,55130378","1159,12855633","1066,15170801",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SEDRONAR - Secretaría de Programación para la Prevención de la Drogadicción y Lucha Contra el Narcotrafico,,quien/SEDRONAR.jpg,Programa 1 - Actividades Centrales,,quien/default.jpg,,,,12,0,"103,127448","145,02717","130,86873787","124,90255993","114,96714424",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SEDRONAR - Secretaría de Programación para la Prevención de la Drogadicción y Lucha Contra el Narcotrafico,,quien/SEDRONAR.jpg,"Programa 16 - Prevencion, Asistencia, Control y Lucha Contra la Drogadiccion",,quien/default.jpg,,,,12,"258,61395823","175,987552","354,00783","313,72688148","311,87443266","281,11244914",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SEDRONAR - Secretaría de Programación para la Prevención de la Drogadicción y Lucha Contra el Narcotrafico,,quien/SEDRONAR.jpg,Programa 17 - Recuperar Inclusion,,quien/default.jpg,,,,12,"180,32093317",0,"42,5","35,7349","35,7349","30,2349",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SI - Secretaría de Inteligencia,,quien/SI.jpg,Programa 16 - Informacion e Inteligencia,,quien/default.jpg,,,,12,0,"1273,569","1273,569","1174,07601623","1174,07601623","1123,88749782",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM CTRAL PRESID - Administración Central de la Presidencia de la Nación,,quien/adm_ctral.svg,SLyT - Secretaría Legal y Técnica,,quien/SLyT.jpg,Programa 20 - Asistencia Legal y Tecnica,,quien/default.jpg,,,,12,"134,78403917","199,412","199,412","182,47789046","159,84823261","155,14208428",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,AFSCA - Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/AFSCA.jpg,AFSCA - Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/AFSCA.jpg,Programa 1 - Actividades Centrales,,,12,"244,45087576","353,926662","487,386693","440,40720901","435,13451832","415,45696435",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,AFSCA - Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/AFSCA.jpg,DAFSCA - Directorio de la Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/default.jpg,Programa 19 - Administracion y Gestion de Proyecto Especiales,,,12,0,"66,938415","169,012115","48,07591948","46,86678748","46,86678748",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,AFSCA - Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/AFSCA.jpg,DAFSCA - Directorio de la Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/default.jpg,Programa 16 - Control y Fiscalizacion de los Servicios de Comunicacion Audiovisual,,,12,"188,66869626","72,588972","10,0874","6,62683565","6,4056341","5,6976101",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,AFSCA - Autoridad Federal de Servicios de Comunicación Audiovisual,,quien/AFSCA.jpg,ISER - Instituto Superior de Enseñanza Radiofónica,,quien/ISER.jpg,"Programa 18 - Enseñanza, Capacitacion y Habilitacion",,,12,"8,73771265","13,091951","15,562951","12,30902728","11,84394037","11,20164116",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,ARN - Autoridad Regulatoria Nuclear,,quien/ARN.jpg,Programa 16 - Regulacion y Fiscalizacion de las Actividades Nucleares,,quien/default.jpg,,,,12,"197,56345311","261,605","273,313769","254,25699509","222,53788714","208,9156337",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,CERVANTES - Teatro Nacional Cervantes,"<b>Titular:</b> RUBÉNS WALTER CORREA<br /><b>Suplente:</b> CLAUDIO GABRIEL GAILLARDOU MICELI<br /><b>Teléfonos:</b> 4815-8883 AL 86, FAX 4816-1318",quien/CERVANTES.jpg,Programa 16 - Acciones Artisticas del Teatro Nacional Cervantes,,quien/default.jpg,,,,12,"110,18095759","145,997046","157,397046","127,6895959","123,60470923","122,24436495",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,PRESID - Presidencia de la Nación,<b>Titular:</b> Cristina Fernández de Kirchner,1,quien/PRESID.jpg,ADM DESC PRESID - Administración Descentralizada de la Presidencia de la Nación,,quien/adm_desc.svg,SIGEN - Sindicatura General de la Nación,,quien/SIGEN.jpg,Programa 16 - Control Interno del Poder Ejecutivo Nacional,,quien/default.jpg,,,,12,"303,72417932","396,981","420,481","364,35356435","361,24971898","345,19566724",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,JEFGAB - Jefatura de Gabinete de Ministros,<b>Titular:</b> Aníbal Fernández,2,quien/JEFGAB.jpg,ADM CTRAL JGM - Administración Central de la Jefatura de Gabinete de Ministros,,quien/adm_ctral.svg,ACUMAR - ACUMAR,,quien/ACUMAR.jpg,JGA - Jefatura de Gabinete de Asesores,,quien/default.jpg,Programa 38 - Programa Integral Cuenca Matanza,,,12,"17,12445224","150,073676","228,793676","211,14205577","155,89120934","29,09002189",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODEJEC - Poder Ejecutivo Nacional,,4,quien/PODEJEC.jpg,JEFGAB - Jefatura de Gabinete de Ministros,<b>Titular:</b> Aníbal Fernández,2,quien/JEFGAB.jpg,ADM CTRAL JGM - Administración Central de la Jefatura de Gabinete de Ministros,,quien/adm_ctral.svg,ACUMAR - ACUMAR,,quien/ACUMAR.jpg,UCGP1059 - Unidad de Coordinación General del Proyecto BIF 1059/OC-AR,,quien/default.jpg,Programa 39 - Gestion Ambiental Matanza,,,12,"14,74472686","12,094238","0,494238",0,0,0,Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
